odometer,year,state_encoded,odometer^2,odometer year,odometer state_encoded,year^2,year state_encoded,state_encoded^2,odometer^3,odometer^2 year,odometer^2 state_encoded,odometer year^2,odometer year state_encoded,odometer state_encoded^2,year^3,year^2 state_encoded,year state_encoded^2,state_encoded^3
84182.0,2013.0,16672.748792270533,7086609124.0,169458366.0,1403545338.830918,4052169.0,33562243.318840586,277980552.2901585,596564929276568.0,14265344166612.0,118153253713464.34,341119690758.0,2825336767066.638,23400958852890.125,8157016197.0,67560795800.826096,559574851760.0891,4634699917470.437
64832.0,2015.0,18771.65240378704,4203188224.0,130636480.0,1217003768.6423213,4060225.0,37824879.59363089,352374933.9686038,272501098938368.0,8469424271360.0,78900788328618.98,263232507200.0,2452262593814.278,22845171719052.52,8181353375.0,76217132381.16624,710035491946.7367,6614659776266.041
59914.0,2011.0,16697.744144144144,3589687396.0,120487054.0,1000428642.6522523,4044121.0,33579163.473873876,278814659.5033001,215072530643944.0,7218861353356.0,59939681695867.05,242299465594.0,2011862000373.6794,16704901509480.72,8132727331.0,67527697745.960365,560696280261.1365,4655575848022.772
102200.0,2010.0,18219.515325670498,10444840000.0,205422000.0,1862034466.283525,4040100.0,36621225.8045977,331950738.70234215,1067462648000000.0,20994128400000.0,190299922454176.25,412898220000.0,3742689277229.885,33925365495379.367,8120601000.0,73608663867.24138,667220984791.7078,6047981571154.966
36405.0,2018.0,18771.65240378704,1325324025.0,73465290.0,683382005.7598672,4072324.0,37881194.55084225,352374933.9686038,48248421130125.0,2674503882450.0,24878521919687.965,148252955220.0,1379064887623.412,12828209471127.021,8217949832.0,76444250603.59966,711092616748.6425,6614659776266.041
99964.0,2016.0,16800.592452830188,9992801296.0,201527424.0,1679454423.954717,4064256.0,33869994.38490566,282259906.7660947,998920388753344.0,20145487412736.0,167884982036209.3,406279286784.0,3385780118692.7095,28215829319965.89,8193540096.0,68281908679.96981,569035972040.4469,4742133659351.003
87857.0,2013.0,17976.194444444445,7718852449.0,176856141.0,1579334515.3055556,4052169.0,36186079.41666667,323143566.70447534,678155219611793.0,15538049979837.0,138755592511200.2,356011411833.0,3179200379310.084,28390424339955.09,8157016197.0,72842577865.75002,650487999776.1089,5808891588550.953
87261.0,2014.0,18997.989561586637,7614482121.0,175743654.0,1657783567.1336114,4056196.0,38261950.977035485,360923607.3821548,664447324360581.0,15335566991694.0,144659851851646.06,353947719156.0,3338776104207.0933,31494554903774.21,8169178744.0,77059569267.74947,726900145267.6598,6856822925576.371
119112.0,2003.0,16610.72462077013,14187668544.0,238581336.0,1978536631.0291715,4012009.0,33271281.415402565,275916172.42705894,1689921575612928.0,28417900093632.0,235667455195146.66,477878416008.0,3963008871951.43,32864927130131.844,8036054027.0,66642376675.05134,552660093371.399,4583167558602.804
79357.0,2015.0,13234.48772763262,6297533449.0,159904355.0,1050249242.6017419,4060225.0,26667492.771179732,175151665.41285846,499753361912293.0,12689529899735.0,83344629145146.44,322207275325.0,2116252223842.51,13899510712168.209,8181353375.0,53734997933.92716,352930605806.9098,2318042566380.89
96040.0,2011.0,16050.705630791163,9223681600.0,193136440.0,1541509768.7811832,4044121.0,32277969.02352103,257625151.24631113,885842380864000.0,18548823697600.0,148046598193744.84,388397380840.0,3099976145018.9595,24742319525695.723,8132727331.0,64910995706.30079,518084179156.33167,4135065465742.591
29287.0,2017.0,16050.705630791163,857728369.0,59071879.0,470077015.80898076,4068289.0,32374273.257305775,257625151.24631113,25120290742903.0,1730038120273.0,13767145561997.62,119147979943.0,948145340886.7142,7545067804550.714,8205738913.0,65298909159.98575,519629930063.8096,4135065465742.591
